details,date,city,state,country,shape,summary,report_date,posted_date,image,,,,,,
https://nuforc.org/sighting/?id=159596,9/28/20 3:30,Boise,ID,USA,Disk,photos of bright glittery white lights at 3:30am.,9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159598,9/28/20 0:00,Marysville,WA,USA,Rectangle,"This was in the NE sector and was about at a 10 O'clock position,noo blinking lights and appeared to be stationery. It appeared to ha",9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159604,9/27/20 22:36,Independence,MO,USA,Changing,Reddish orange fire flame dancing in night sky,9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159609,9/27/20 21:05,Kingsville,OH,USA,Fireball,There was a motherboard.,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159962,9/27/20 20:31,Independence,MO,USA,,MADAR Node 45,10/15/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=160715,9/27/20 19:50,FORT WORTH,TX,USA,Other,CUBE SHAPE OBECT SIGHTED IN FORT WORTH TX SEP 20,11/19/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159706,9/27/20 18:00,Middleboro,MA,USA,Circle,dark circle hovers and takes off,10/1/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159607,9/27/20 17:55,Ellicottville,NY,USA,Disk,They're back and there's more,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159696,9/27/20 13:27,Brush Prairie,WA,USA,Orb,UFO sighting while homeschooling my son. Multiple white objects in sky. Can see that there are different speeds and directions.,10/1/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159709,9/27/20 7:14,Flippin,AR,USA,Light,Green light appears and disappears followed by the sound of a jet,10/2/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159965,9/27/20 5:50,Spokane,WA,USA,,MADAR Node 37,10/15/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159583,9/27/20 5:24,Houston,TX,USA,Formation,Star formation taking place with jumps through triangle. Same old stuff they jump through time to keep the governments in control. Noth,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159573,9/27/20 5:20,The Villages,FL,USA,Light,Two white lights spheres in tandem seen through thin clouds moving fast very fast 2-3 seconds,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159579,9/27/20 5:18,Spokane Valley,WA,USA,Sphere,Lights racing around,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=163670,9/27/20 5:00,Allen Park,MI,USA,Circle,Circular objects moving fast,6/11/21,7/31/21,,,,,,,
https://nuforc.org/sighting/?id=159582,9/27/20 2:50,Tucson (North of; Pima Co.),AZ,USA,Sphere,Pulsing white light Spherical object,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159577,9/27/20 2:00,Pointblank,TX,USA,Light,It was 2:00 in the morning on the east side lake livingston right under 190 hwy. My mom and my sister and I were inside the house havin,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159605,9/27/20 1:45,Deerlake,WA,USA,Oval,09/27/2020. Deer Lake Wa sphere 2 minutes. Glowing white sphere size of a golf ball dancing between to motion cameras,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159788,9/27/20 1:25,Mt. Vernon,IN,USA,,MADAR Node 119,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159603,9/27/20 1:20,Scottsdale/Fountain Hills,AZ,USA,Changing,"Saw what seemed to be a regular aircraft, but turned out to be a physics defying encounter.",9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159782,9/27/20 0:00,Kennebunk,ME,USA,Triangle,Is this a UFO or the government,10/6/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159635,9/27/20 0:00,Brighton (UK/England),,United Kingdom,Changing,Stunning interdimensional craft with ET's inside,9/30/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159590,9/26/20 23:10,West Islip,NY,USA,Circle,Two bright red -orange centers fly over Long Island. Disappeared within minutes of each other after traveling north.,9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=165657,9/26/20 22:00,Glenmoore,PA,USA,Disk,Back yard,12/3/21,12/19/21,,,,,,,
https://nuforc.org/sighting/?id=159562,9/26/20 21:36,Fremont,MI,USA,Fireball,Two orange balls silently fly over Michigan from south to north.,9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159578,9/26/20 21:30,Biloxi,MS,USA,Fireball,Fiery pulsating orb,9/27/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159564,9/26/20 21:20,Johnson City,TN,USA,Unknown,"Had to walk my dog and happened to look up in the sky to see the stars, after raining two days it was nice to see a clear sky i noticed",9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159561,9/26/20 21:00,Cotter,AR,USA,Other,"Oval/triangle/filled in boomerang shaped spacecraft. Lights flashing in a row, noises too loud for aircraft and for its size.",9/26/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159602,9/26/20 20:35,Avon,IN,USA,Unknown,Green and Red Ribbon Lights Passing Over My Neighborhood.,9/28/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159629,9/26/20 20:30,Powdersville,SC,USA,Circle,Spectacular light sightings above the clouds over the highway,9/30/20,11/5/20,,,,,,,
